"entrykey";"entryterm";"entrytermabbr";"entrytermdef";"entrytermlastmod"
"L22/TOOL0303";"Coastal Leasing MacroTide+ water level recorder";"MacroTide+ WLR";"A sub-surface water level recorder designed for measurement of tidal signals and water temperature with a Parascientific Digiquartz pressure sensor logged at 16-bit resolution and a YSI internal (or optionally external) thermistor. Pressure accuracy is 0.015% of measurement range. Temperature accuracy is 0.1C (resolution 0.02C).";"2010-05-18"
"L22/TOOL0304";"IXSEA Photonic Inertial Navigation System";"IXSEA PHINS";"PHINS, or PHotonic Inertial Navigation System (INS) that outputs position, heading, pitch, roll, heave, depth and velocity. The PHINS uses a high accuracy inertial measurement unit and produces positional data with an accuracy ranging from metres to cm, depending on the specific instrumentation setup. INS drift performance is known to be inadequate without a velocity input from an ADCP.";"2010-05-18"
"L22/TOOL0306";"Aanderaa Seaguard Recording Current Meter";"Aanderaa Seaguard RCM";"A multi-frequency Doppler current sensor for measuring horizontal current speed and direction. The shallow water (SW), intermediate water (IW) and deep water (DW) models can be deployed to 300 m, 2000 m and 6000 m, respectively. The instrument has a maximum sampling rate of 0.5 Hz, a velocity range of 0 – 300 cm s-1, and incorporates an electronic compass and a tilt sensor. A number of additional oceanographic sensors may also be attached. Further details can be found at http://www.bodc.ac.uk/data/documents/nodb/pdf/Aanderaa_Seaguard_RCM.pdf";"2010-09-06"
"L22/TOOL0313";"Trimble 4000AX Global Positioning System receiver";"Trimble 4000AX GPS";"A GPS receiver in use on research vessels in the 1990s. Sampling rate reported in cruise report literature as approximately 1 second";"2010-09-06"
"L22/TOOL0318";"Sea-Bird SBE35 thermometer";"SBE 35";"An oceanographic thermometer with a measurement range of -5 to +35 deg C; an initial accuracy of 0.001 deg C; and a resolution of 0.000025 deg C. The sensor is an ultra-stable aged thermistor with a drift rate of less than 0.001deg C per year. It can be used both in fixed point cells and at depths up to 6800 metres in combination with an SBE water sampling carousel.";"2013-03-13"
"L22/TOOL0319";"Kongsberg (Simrad) EA600 Echosounder";"EA600 echosounder";"The EA600 single beam echosounder operates up to four high power transceivers simultaneously. Available frequencies span from 12 to 710 kHz with a variable power output of up to 2 kW and a 160 dB dynamic range. The EA600 replaced the EA500 in 2000.";"2010-09-06"
"L22/TOOL0320";"Valeport 740 tide gauge";"Valeport 740";"The Valeport 740 tide gauge is a strain gauge sensor with a resolution of 1 mm. A user-selectable sampling regime allows up to 2 years’ autonomous operation, whilst the optional radio transmission package extends the capabilities for real time operations.";"2012-05-11"
"L22/TOOL0331";"Radar Water Level Recorder";"Radar Water Level Recorder";"A generic term for radar water level recorders (also known as wavemeters) that measure the distance between the instrument and the water surface. They can be used to measure ocean waves or sea level (depending on sampling frequency) and have been employed on structures such as oil platforms.";"2010-09-06"
"L22/TOOL0333";"Magee Scientific AE1 Aethalometer";"Magee AE1 Aethalometer";"The Magee Scientific AE1 Aethalometer determines concentration of light absorbing aerosol particles from measurements of light transmission through a sample. Air is filtered through a quartz fibre filter tape that traps particulate matter. Measurements are taken at user-specified time intervals ranging from one second to several minutes and the instrument outputs a voltage that is indicative of the amount of light absorbed by the sample.";"2010-09-06"
"L22/TOOL0335";"Analogue tide gauge";"Analogue TG";"Generic term for instruments that transform the damped level of the sea surface into a marking on a chart by a continous pen recorder or an analogue display that may be read and written into a ledger.";"2010-09-06"
"L22/TOOL0336";"Grundy Environmental 6620 thermosalinograph";"Grundy 6620 thermosalinograph";"An autoranging instrument taking inputs from a hull or inlet thermometer to give sea temperature plus co-located temperature and conductivity sensors to give salinity. In general use during the 1980s and 1990s.";"2010-09-06"
"L22/TOOL0337";"Decca main chain navigation receiver";"Decca navigation";"A hyperbolic low-frequency (70 and 130 kHz) signal receiver that determined position based on the phase difference between signals transmitted by groups of a master plus three slave transmitters. Range depended on radio reception conditions but was typically 450km (day) to 750km (night). Accuracy ranged from 50m (day) or 200m (night) in ideal conditions down to 2km near the range limit. The system operated from the WWII until the UK transmitters were switched off at the end of March 2000.";"2010-09-06"
"L22/TOOL0340";"University of Leeds Volatile Aerosol Concentration and Composition instrument";"VACC";"The Volatile Aerosol Concentration and Composition instrument (VACC) indicates the size-resolved chemical composition of an aerosol sample. Air is drawn in through a quartz tube heating element, programmed to cycle over temperatures between 40 and 900 degrees C. Particles are sized by a hybrid optical particle counter. Temperature dependent changes in size spectra are characteristic of the chemical composition of the aerosol particles.";"2010-09-06"
"L22/TOOL0341";"Chelsea Technologies Group MINIpack CTD-F";"CTG MINIpack CTD-F";"A single titanium/acetyl housing containing temperature, conductivity, pressure and fluorescence sensors, a data logger and internal batteries. The fluorometer can be configured to measure a variety of pigments or turbidity and the sensor package has a depth rating of 600m. Data can be recorded internally or output in real time. Spare channels are available to interface up to 16 external sensors such as PAR and dissolved oxygen.";"2010-10-14"
"L22/TOOL0342";"ChemLab AA-II segmented continuous flow autoanalyser";"ChemLab AA-II";"A rapid flow analyser that may be used to measure nutrient concentrations in seawater. It is a continuous flow instrument consisting of a sampler, peristaltic pump, analytical cartridge, heating bath, colorimeter, data station, and printer.";"2010-09-06"
"L22/TOOL0348";"Fugro SeaSTAR 9200-G2 Differential Navigation System receiver";"Fugro SeaSTAR 9200-G2";"A dual-frequency Differential Global Satellite Navigation System (DGSNS) receiver that incorporates both GPS and GLONASS reception capability. It also tracks the Fugro L-Band satellite broadcast of DGNSS corrections and, as backup, can receive these corrections via the internet. This functionality allows the instrument to provide positional information with a horizontal accuracy of 15cm and a vertical accuracy of 20cm.";"2010-09-06"
"L22/TOOL0349";"C&C Technologies C-Nav3050 satellite positioning system receiver";"C&C Tech. C-Nav3050 receiver";"A 66-channel "all-in-view" parallel tracking combined GPS/GNSS/L-band receiver providing high accuracy positional information worldwide between 72N and 72S. The C-Nav3050 tracks GPS, GLONASS, Galileo, C-Nav and other SBAS signals, producing positional fixes with a horizontal accuracy of <10cm and a vertical accuracy of <15cm. The instrument has a range of user-programmable output rates (1, 5, 10, 25, 50 and 100 Hz).";"2010-09-06"
"L22/TOOL0351";"Teledyne RDI 75kHz Ocean Observer narrowband ADCP";"RDI 75kHz narrowband Ocean Observer";"An acoustic doppler current profiler (ADCP) designed for deployment from oil platforms. It has a 75kHz narrowband signal and a standard depth rating of 100m. It can operate in long range or high precision modes with between 1 and 128 depth cells, typically 8m or 16m in size. The maximum measurement range is 700m, which decreases with decreasing bin size and the use of high precision mode. The instrument operates effectively between temperatures of -5 to 45 C and has a velocity accuracy of +/- 0.5cm per second or +/- 1% over the range +/- 7m per second. It includes a temperature sensor, a tilt meter and a fluxgate compass as standard.";"2010-09-06"
"L22/TOOL0352";"Manchester Centre for Atmospheric Science Hygroscopic Tandem Differential Mobility Analyser";"Manchester CAS HTDMA";"The Hygroscopic Tandem Differential Mobility Analyser (HTDMA) measures the changes in aerosol size distribution in response to a change in relative humidity. It uses two Differential Mobility Analysers (DMAs), operated in series. The incoming air sample is dried to <10% relative humidity, and the first DMA selects a monodisperse distribution of a chosen size. The monodisperse subsample is humidified, and the second DMA, coupled to a particle counter, measures the size distribution of the humidified sample.";"2010-10-01"
"L22/TOOL0353";"Bolt Technology Corporation Long-Life air gun";"Bolt Long-Life air gun";"A family of air guns with maximum bubble sizes from 125 to 2000 cubic inches. Air guns comprise a towed chamber that rapidly release a single bubble of highly compressed air on command to generate an acoustic shock wave plus sonic oscillations as the bubble collapses. This family has been used as energy sources for seafloor seismic surveys since their introduction in 1992.";"2010-11-18"
"L22/TOOL0354";"Hydrophone";"Hydrophone";"A generic term for an acoustic intensity sensor (microphone) with an acoustic impedence matched to the density of water to optimise sonic detection under water.";"2010-11-18"
"L22/TOOL0355";"Bolt Technology Corporation 2800-LLX air gun";"Bolt 2800-LLX air gun";"A towed chamber that rapidly releases a single bubble of highly compressed air on command to generate an acoustic shock wave plus sonic oscillations as the bubble collapses. It is used a an energy source for seafloor seismic surveys and is suited to shallow water work. The L2800-LLX is designed for chamber volumes ranging from 5 to 120 cubic inches and has a maximum operating pressure of 2000 psi. It can be configured in 2-3 gun clusters to increase energy output.";"2010-11-18"
"L22/TOOL0356";"Bolt Technology Corporation 1900-LLXT air gun";"Bolt 1900-LLXT air gun";"A towed chamber that rapidly releases a single bubble of highly compressed air on command to generate an acoustic shock wave plus sonic oscillations as the bubble collapses. It is used a an energy source for seafloor seismic surveys and is suited to both shallow and deep water work. The 1900-LLXT is designed for chamber volumes ranging from 10 to 380 cubic inches and has been tested at an operating pressure of 3000 psi.";"2010-11-18"
"L22/TOOL0357";"Bolt Technology Corporation 1500-LL air gun";"Bolt 1500-LL air gun";"A towed chamber that rapidly releases a single bubble of highly compressed air on command to generate an acoustic shock wave plus sonic oscillations as the bubble collapses. It is used a an energy source for seafloor seismic surveys. The 1500-LL is designed for chamber volumes ranging from 40 to 1500 cubic inches and has a maximum operating pressure of 2000 psi. Multiple guns can be configured in a cluster to increase energy output.";"2010-11-18"
